English,Japanese,Example,Translation
cognitive,認知の、認識の,Cognitive science helps us understand how the brain works.,認知科学は、脳がどのように働くかを理解する助けになる。
magical,魔法のような、不思議な,The sunset over the ocean was a magical moment.,海に沈む夕日は、魔法のような（不思議な）瞬間だった。
transmit,送る、伝える,Some traditions are transmitted from generation to generation.,いくつかの伝統は、世代から世代へと伝えられる。
differ,異なる、違う,Opinions on this issue differ widely among experts.,この問題に関する意見は、専門家の間でも大きく異なる。
vocabulary,語彙、単語集,You can expand your vocabulary by reading various books.,さまざまな本を読むことで、語彙を増やすことができる。
forth,前へ、外へ,The plants bring forth new leaves in the spring.,春になると、植物は新しい葉を芽吹かせる（外へ出す）。
back and forth,行ったり来たり、やり取り,The two countries have been communicating back and forth.,その二国間では、何度も（行ったり来たりの）やり取りがなされている。
data,データ、資料,We need more data before we can make a final decision.,最終決定を下す前に、もっと多くのデータが必要だ。
weigh,重さを量る、検討する,You must weigh the risks against the potential rewards.,リスクと、得られる可能性のある報酬を比較検討しなければならない。
Aboriginal,先住民の,We studied the history of Aboriginal people in Australia.,私たちはオーストラリアの先住民（アボリジニ）の歴史を学んだ。
cardinal,主要な、基本方位の,"North, South, East, and West are the cardinal points.",北、南、東、西は（方位の）基本点である。
northeast,北東,The storm is moving toward the northeast.,嵐は北東に向かって進んでいる。
orientation,方向感覚、適応,He has a poor sense of orientation and often gets lost.,彼は方向感覚が鈍く、よく道に迷ってしまう。
toward,〜の方へ,The children ran toward the ice cream truck.,子供たちはアイスクリームのトラックの方へ走っていった。
dramatically,劇的に、著しく,The price of gold has increased dramatically this year.,金の価格は今年、劇的に上昇した。
realm,領域、範囲,This discovery is beyond the realm of current science.,この発見は、現在の科学の領域を超えている。
exact,正確な、精密な,I need to know the exact number of people attending.,出席者の正確な人数を知る必要がある。
quantity,量、分量,They produced a vast quantity of energy from the sun.,彼らは太陽から膨大な量のエネルギーを生み出した。
folk,人々,Many folk in the village still tell old legends.,村の多くの人々は、いまだに古い伝説を語り継いでいる。
linguistic,言語の,Studying linguistic diversity is important for understanding culture.,言語の多様性を学ぶことは、文化を理解する上で重要だ。
spectrum,範囲、スペクトラム,The political spectrum includes many different views.,政治的な範囲（スペクトラム）には、多くの異なる見解が含まれる。
boundary,境界（線）,Respecting others' personal boundary is essential.,他人の個人的な境界（プライバシー）を尊重することは不可欠だ。
differentiate,区別する,It is sometimes hard to differentiate fact from opinion.,事実と意見を区別するのは時として難しい。
lifetime,生涯、一生,She spent a lifetime traveling around the world.,彼女は世界中を旅して一生を過ごした。
distinguish,見分ける,It was too dark to distinguish his face.,暗すぎて彼の顔を見分けることができなかった。
categorize,分類する,Books in the library are categorized by subject.,図書館の本は主題ごとに分類されている。
perceptually,知覚的に,The two music tracks are perceptually identical to me.,私にとって、その2つの曲は知覚的には全く同じに聞こえる。
discriminate,識別する、差別する,It's important to discriminate between good and bad information.,良い情報と悪い情報を識別することが重要だ。
whereas,〜であるのに対して,"Some people like hot weather, whereas others prefer the cold.",暑い天候を好む人がいる一方で、寒い方を好む人もいる。
specify,明確に述べる,The contract does not specify the exact completion date.,契約書には正確な完了日が明記されて（明確に述べられて）いない。
requirement,必要条件,A high school diploma is a basic requirement for this job.,高校の卒業証書はこの仕事の基本的な必要条件だ。
beauty,美しさ、素晴らしさ,The beauty of this app is that it is very easy to use.,このアプリの素晴らしさは、使い方が非常に簡単なことにある。
diversity,多様性,The university promotes diversity among its students.,その大学は学生たちの間の多様性を推進している。
reveal,明らかにする,The investigation revealed the truth about the incident.,調査によって、その事件に関する真実が明らかにされた。
ingenious,独創的な、巧妙な,She found an ingenious way to save money on travel.,彼女は旅行費用を節約するための独創的な方法を見つけた。
tragic,悲劇的な,It was a tragic waste of talent when he quit music.,彼が音楽を辞めたのは、才能の悲劇的な無駄遣いだった。
monolingual,単一言語を話す,The study compared monolingual children with bilingual ones.,その研究は、単一言語を話す子供と二言語を話す子供を比較した。
neuroscientist,神経科学者,The neuroscientist explained how memories are formed in the brain.,その神経科学者は、脳内でどのように記憶が作られるかを説明した。
bilingualism,二言語併用,Bilingualism can delay the onset of some brain diseases.,二言語併用（バイリンガリズム）は、いくつかの脳疾患の発症を遅らせる可能性がある。
illogical,非論理的な,It is illogical to expect different results from the same actions.,同じ行動から異なる結果を期待するのは非論理的だ。
grammatically,文法的に,"This sentence is grammatically perfect, but it feels unnatural.",この文は文法的には完璧だが、不自然に感じる。
grammatical,文法の,You need to pay attention to grammatical rules.,文法の規則に注意を払う必要がある。
executive,実行の、管理職の,The brain's executive function helps us control our impulses.,脳の実行機能は、衝動を抑えるのを助けてくれる。
general,一般的な,There is a general belief that hard work leads to success.,努力は成功につながるという一般的な信念がある。
regularly,定期的に,I regularly check my email for any important updates.,重要な更新がないか、定期的にメールをチェックしている。
