English,
There are many languages spoken in the world.,たくさんの言語が世界で話されている
Do you think people who speak different languages have different ways of thinking?,あなたは思うか、異なる言語を話す人々は異なる考え方をもっていると
"Lera Boroditsky,",レラ・ボロディツキー
"a professor of cognitive science at the University of California, San Diego,",カリフォルニア大学サンディエゴ校の認知科学の教授は
discusses this issue in a talk.,講演でこの問題を議論する
I’ll be speaking to you,私はあなたに話すだろう
using language.,言語を使って
This is one of these magical abilities,これは不思議な力の1つである
that we humans have.,私たち人間がもつ
"Because of this ability,",この力のために
we’re able to transmit our ideas,私たちは考えを伝えることができる
across vast reaches of space and time.,広い範囲と時間にわたって
"There are about 7,000 languages","およそ7,000の言語がある"
spoken around the world.,世界で話されている
And all the languages differ from one another in all kinds of ways,そしてすべての言語は互いにさまざまな点で異なる
"—in sound,",音
"vocabulary,",語彙
and structure.,そして構造で
We may ask the question:,私たちは質問するかもしれない
Does the language we speak shape the way we think?,私たちが話す言語は私たちの考え方に影響を与えるのか
"Some people would say yes,",はいと言う人もいるだろう
and others would say no.,いいえと言う人もいるだろう
The arguments have gone back and forth,その議論は行ったり来たりしている
for thousands of years.,何千年もの間
"Until recently,",最近までずっと
there hasn’t been any data,データがなかった
to help us decide either way.,私たちがいずれの方向かを決めるのに役立つ（データ）
But now we have scientific data,しかし今私たちは科学的なデータを持つ
to weigh in on this question.,この質問について意見を加えるための
Let me tell you,話をさせてほしい
about some of my favorite examples.,私のお気に入りの例について
I’ll start with an example,私はある例から始める
from an Aboriginal community in Australia.,オーストラリア先住民のコミュニティ（の例）から
They are the Kuuk Thaayorre people.,彼らはクウク・サアヨッレ族である
"In their language,",彼らの言語では
they don’t use words like “left” and “right.”,彼らは「左」「右」のような語を使わない
"Instead,",その代わりに
everything is in cardinal directions:,すべてのものは基本的な方位で表す：
"north, south, east, and west.",北、南、東、西
"You’d say something like,",あなたは次のように言うだろう
“Move your cup to the north-northeast a little bit.”,「北北東の方向に少しカップを動かして」
"When you want to say “hello” in their language,",あなたが彼らの言語で「こんにちは」と言いたいとき
"you’d say,",あなたは言うだろう
“Which way are you going?”,「どの方角にあなたは行くのか」
"And the answer should be,",そしてその答えは～であるはずだ
“North-northeast in the far distance.,「はるか遠くの北北東
How about you?”,あなたはどうか」
We used to think,私たちは考えたものだ
"that humans were worse than other creatures at orientation,",人間は定位においてほかの生き物に比べてより劣っていると
"but if your language trains you to do it,",しかしもしあなたの言語がそうするように訓練すると
you can do it.,あなたはそれができる
There are also big differences,また大きな違いがある
in how people think about time.,いかに人々が時間について考えるかについて
Here I have pictures of my grandfather,ここに私のおじいさんの写真を私は持っている
at different ages.,異なる年齢の
If I ask an English speaker,もし私が英語話者にお願いすると
"to organize the pictures in time order,",それらの写真を時間の順番に並べるように
"she might lay them out from left to right,",彼女はそれらを左から右に広げて並べるかもしれない
which indicates that time moves from left to right.,それは時間が左から右に動くことを示す
But how would the Kuuk Thaayorre do it?,ではクウク・サアヨッレ族はどのようにそれをするか
They don’t use words like “left” and “right.”,彼らは「左」や「右」のような言葉を使わない
"When facing south,",南に向いているとき
time moves from left to right.,時間は左から右に動く
"When facing north,",北に向いているとき
time moves from right to left.,時間は右から左に動く
"When facing east,",東に向いているとき
time comes towards the body.,時間は体の方向に向かって来る
What’s the pattern?,パターンは何か
"East to west, right?",東から西、そうだろう
"For them,",彼らにとって
time doesn’t get locked on the body;,時間は体に固定されない
it gets locked on the landscape.,それは地表に固定される
It’s a dramatically different way of thinking,それは劇的に異なる考え方である
about time.,時間についての
Here’s another human trick.,これはもうひとつの人間のこつだ
Suppose I asked you,私があなたに尋ねたらどうか
how many penguins you see.,何羽のペンギンが見えるかと
I know how you’d answer.,あなたがどう答えるか私は知っている
"You’d go,",あなたはこうするだろう
"“One, two, three, four, five, six, seven, eight.”",「1、2、3、4、5、6、7、8」
You’d count them.,あなたはそれらを数えるだろう
Having number words in your language,あなたの言語に数の単語があることは
opens up the whole world of mathematics.,数学の世界全体を広げる
This little trick gives you a stepping stone,この小さなこつはあなたに足がかりを与える
into a whole cognitive realm.,認知領域全体への
Some languages don’t have number words.,言語の中には数を表す言葉を持たないものもある
"In fact,",実際に
"people who speak these languages don’t count,",これらの言語を話す人々は数えない
and they have trouble keeping track of exact quantities.,そして彼らは正確な数量を把握するのに苦労する
"For example,",例えば
if I asked you to match a certain number of penguins,もし私があなたにある数のペンギンと～を合わせることを尋ねたら
"to the same number of ducks,",同じ数のアヒルを
you would be able to do that by counting.,あなたは数えることによってそれができるだろう
But folks who don’t have that linguistic trick,しかしその言語的こつを持たない人々は
can’t do that.,それができない
Languages also differ,言語はまた異なる
in how they divide up the color spectrum.,それらがどのように色の範囲を分けるかにおいて
Some languages have lots of words for colors.,言語の中には多くの色を表す言葉を持つものがある
Some have only a couple of words:,言語の中には2つの言葉しか持たないものもある
“light” and “dark.”,「明るい」と「暗い」のように
Languages also differ,言語はまた異なる
in where they put boundaries between colors.,どこでそれらが色の境界を置くかにおいて
"For example,",例えば
"in English,",英語では
"blue can cover all shades of blue,",blueは青のすべての色合いをカバーする
"but in Russian,",しかしロシア語には
there isn’t a single word.,単一の言葉はない
"Instead,",代わりに
Russian speakers have to differentiate,ロシア語話者は区別しなければならない
"between light blue, goluboy,",明るい青であるgoluboyと
"and dark blue, siniy.",暗い青であるsiniyを
"So,",だから
Russians have this lifetime of experience,ロシア人は一生の経験を持っている
of distinguishing these two colors in language.,これら2つの色を言語において識別する（一生の経験）
The difference,違いは
in how languages categorize the color spectrum,言語がどのように色の範囲を分類するかにおける
has important consequences.,重要な結果をもっている
When we test people’s ability,私たちが人々の能力をテストするとき
"to perceptually discriminate among these colors,",知覚的にこれらの色の区別をする（能力を）
we find that Russian speakers are faster,私たちはロシア語話者はより速いことを発見する
across this linguistic boundary.,この言語の境界を越えて
"For example,",例えば
when you have colors shifting slowly,ゆっくりと変化する色を受け取ると
"from light to dark blue,",明るい青から暗い青に
"Russian speakers will have a surprised reaction in their brains,",ロシア語話者は彼らの脳内に驚いた反応を得るだろう
whereas English speakers won’t.,一方で英語話者はそうではないだろう
